Location,FDR,CIR,Soil Cement,Cement Treated Base,CCPR,Lime,URL
ALABAMA,302,,,29-3,,,https://www.dot.state.al.us/publications/Construction/Specifications.html
ALASKA,"306, 307",308,,,,,https://dot.alaska.gov/stwddes/dcsspecs/
ARIZONA,,408,302,304,,301,https://azdot.gov/business/contracts-and-specifications/specifications-pay-items-list
ARKANSAS,SP A00085,,,"307,308",,301,https://ardot.gov/divisions/construction/standard-specifications/
CALIFORNIA,YES,YES,SP 24,SP 27,,,https://dot.ca.gov/programs/design/ccs-standard-plans-and-standard-specifications
COLORADO,SP 310,406,SP 308,,,307,https://www.codot.gov/business/designsupport/cdot-construction-specifications
CONNECTICUT,,SP 4.03,,,,,https://portal.ct.gov/dot/business/manuals?language=en_US
DELAWARE,,,,,,,https://deldot.gov/Publications/manuals/standard_specifications/
FLORIDA,SP 332,,,"230, 288",,,https://www.fdot.gov/programmanagement/implemented/specbooks
GEORGIA,315,,301,302,,225,https://www.dot.ga.gov/GDOT/Pages/TheSource.aspx
HAWAII,,,,,,,https://hidot.hawaii.gov/highways/s2005-standard-specifications/
IDAHO,"302, 308",430,,,,,https://itd.idaho.gov/guide/construction-manuals/
ILLINOIS,400-9,400-5,"302, 352","312, 353",,"310, 350",https://idot.illinois.gov/doing-business/industry-marketplace/construction-services/standard-specifications.html
INDIANA,"307, 308",416,"215, 219",,417,,https://www.in.gov/dot/div/contracts/standards/book/
IOWA,2116,2318,2113,,,307,https://iowadot.gov/consultants-contractors/specifications
KANSAS,,604,"303, 301",306,,302,https://www.ksdot.gov/doing-business/highway-contractors/contractor-resources/specifications-for-state-road-and-bridge-construction
KENTUCKY,,,208,,,,https://transportation.ky.gov/Construction/StdSpecsWSupplSpecs/Forms/AllItems.aspx
LOUISIANA,,,302,309,,,https://dotd.la.gov/about/office-of-project-delivery/engineering/publications-and-downloads/specifications-and-standards/specifications/
MAINE,"307, 308, 309",311,,,310,,https://www.maine.gov/dot/doing-business/bid-opportunities/standards
MARYLAND,513,SPECIAL PROVISION,,502,,,https://www.roads.maryland.gov/mdotsha/pages/sscm.aspx?PageId=853
MASSACHUSETTS,403,,,,,,https://www.mass.gov/lists/construction-specifications
MICHIGAN,,,,,,,https://mdotjboss.state.mi.us/SpecProv/specBookHome.htm
MINNESOTA,2215,2390,,,2390,,https://www.dot.state.mn.us/pre-letting/spec/
MISSIOURI,,,,302,,,https://www.modot.org/missouri-standard-specifications-highway-construction
MISSISSIPPI,SP 907.424.2,,310,308,,"307, 311",https://mdot.ms.gov/portal/engineering_standards_guides_manuals
MONTANA,302,405-1,,304,405-4,,https://www.mdt.mt.gov/business/contracting/standard-specs.aspx
NEBRASKA,,,303,,,,https://dot.nebraska.gov/business-center/contractor/
NEVADA,305,404,,304,,,https://www.dot.nv.gov/doing-business/about-ndot/ndot-divisions/engineering/design/standard-specifications-and-plans
NEW HAMPSHIRE,306,,,,,,https://www.dot.nh.gov/about-nh-dot/divisions-bureaus-districts/highway-design/contracts-and-specifications
NEW JERSEY,306,432,,,,,https://dot.nj.gov/transportation/eng/specs/2019/Division.shtml
